# group      Bk1             Bk2             Bk3             Bk4
 0          -4.26938E+02     2.89223E-01     4.42057E-03     2.92846E-01
 1          -4.11248E+02     8.96919E-01    -2.48607E-03     1.40312E-01
 2          -1.46442E+02     1.54528E+00     1.71021E-03    -2.78291E-01
 3           3.50262E+01    -9.20839E-01     2.24399E-03    -9.36300E-02
 4          -8.72770E+01     1.78059E+00    -3.07187E-03    -1.04341E-01
 5           5.73335E+00     1.69764E-02    -6.28957E-04     7.55434E-03
 6          -2.61268E+02    -7.63282E-01    -1.68213E-03     2.89038E-01
 7          -7.25373E+02     8.26326E-01     2.50957E-03    -2.32304E-01
 8          -7.29501E+02     9.86017E-01    -2.92664E-03     1.78077E-01
 9          -1.37456E+01     5.23486E-01     5.50298E-04    -2.76950E-01
10          -7.98796E+02    -1.09436E+00     5.24132E-03    -2.28040E-01
11          -3.93345E+02    -9.51778E-01    -2.19071E-03     3.05843E-01
12          -1.44334E+02    -1.85617E+00    -2.37491E-05     2.88290E-01
13           4.05265E+01    -2.43780E+00     3.60133E-03     9.86422E-02
14          -7.07406E+01    -1.06674E+00     3.73104E-03    -1.44003E-01
15          -7.83648E+02    -1.03439E+00    -1.07148E-03     3.15535E-01
16          -5.63872E+02    -7.18416E-01     2.63016E-03    -4.99470E-02
17          -4.53961E+02    -3.26105E-01    -1.39780E-04    -3.93916E-02
18           3.71375E+01    -2.66753E+00     1.01483E-03     2.14233E-01
19          -5.03710E+02     1.04092E+00    -4.12746E-03     1.82790E-01
20          -3.59763E+01    -4.08458E-01     1.67264E-03    -9.98919E-02
21          -6.09432E+02     1.50436E+00    -9.09024E-04    -1.35495E-01
22          -1.02367E+02    -7.16253E-01    -2.90670E-04    -5.88556E-01
23          -1.93802E+03     6.48262E-01     1.73245E-03     3.47940E-02
24          -5.26919E+00     3.06435E-01     3.25397E-03    -6.81506E-01
25          -2.84042E+02    -6.25424E-01    -8.22474E-04    -8.80549E-02
26           1.50093E+02     2.39875E-02    -3.37969E-03     1.52789E-02
27          -2.03387E+01    -5.48718E+00     8.39075E-03     1.07884E-01
28          -8.38064E+02    -1.09600E+00    -4.24385E-04     2.81812E-01
29          -5.27934E+01    -4.63689E-01    -5.11647E-03     3.84965E-01
30          -1.61520E+03     9.01669E-01     1.44536E-03     2.66889E-01
