SMILES	VP_Nannoolal_BP_Nannoolal	EVAP
COO	-1.16361222594	-1.07170027018
CC1(C2CCC(O)C1C2)C	-3.53183198577	-2.98359574509
C(C(O)OON(O)O)C1C(C(C(O)C)C1)(C)C	-3.80098407803	-5.11710000347
CC(O)OO	-3.67599626738	-3.73651248098
C(O)(OON(O)O)CO	-0.736617548446	-2.87069121591
C1(C(C(CCO)C1)(C)C)C(O)C	-5.91770652853	-5.73511065216
C12C(C(CC(C1(C)OO)O)C2)(C)C	-6.83686753305	-6.60756751335
OOC1(CCC2C(C1C2)(C)C)CO	-7.33258032044	-6.870405161
CC1(C2CCC(CO)(C1C2)ON(O)O)C	-2.9725199214	-3.1918184777
C(OO)C1C(C(C(O)C)C1)(C)C	-6.43822801137	-5.73749062561
OCCC(O)OON(O)O	-1.29721559953	-3.73413250752
OCC(CC)(C)OO	-5.13055101647	-5.28517992261
C(O)C1C(C(C(O)C)(C1)OO)(C)C	-8.83716650163	-8.66773666081
C(O)CO	-4.01209771774	-3.61482499959
CC(C(O)OON(O)O)C	0.239171685257	-1.25393538839
CC(O)C(O)CC(O)OON(O)O	-3.38034271895	-6.03638633678
C12C(C(CC(C1(C)O)ON(O)O)C2)(C)C	-2.49038776303	-2.42027793062
C(C(O)O)C1C(C(C(C)O)C1)(C)C	-7.7678159798	-7.33021860275
CC(C)(C(O)OON(O)O)O	-0.920687067062	-2.40559582582
C12C(C(CC(C1(C)OO)ON(O)O)C2)(C)C	-3.52751723954	-3.94477670953
C(C(C(CO)OO)O)O	-11.2107121643	-9.80301418608
